0.7339999084	rotc
0.7339774155	annapolis
0.7339016539	rikelman
0.7338999831	upton
0.7338522836	ramos
0.7337959306	chinese
0.7337881165	joun
0.7336744110	richland
0.7336556031	trumka
0.7336556031	spartanburg
0.7336276222	soleimani
0.7336267914	zoe
0.7336267914	lucille
0.7336267914	gwen
0.7335986519	kentucky
0.7335206601	yemen
0.7334892421	charleston
0.7334460663	sapp
0.7334426920	cuba
0.7334021024	arab
0.7333281636	everglades
0.7333193924	navajo
0.7333139572	grover
0.7331843331	medicaid
0.7331714838	ceo
0.7331680435	syracuse
0.7331272007	klobuchar
0.7330812495	pjm
0.7330693111	secretary's
0.7329977872	terrell
0.7329287818	adams
0.7328770632	wa
0.7328580287	engel
0.7328429945	marshall
0.7328266568	vietnamese
0.7327972674	burlington
0.7327944243	mckean
0.7327556030	alcorn
0.7327194382	tahoe
0.7327166854	manuel
0.7327135863	chevy
0.7326863968	saudi
0.7326699295	oxford
0.7325982899	johnny
0.7325754707	tampa
0.7325715917	starr
0.7325344102	catholic
0.7325114916	gaza
0.7324950835	lambda
0.7324706730	commonwealth
0.7324638377	afb
0.7323156522	muhammad
0.7323127874	warren
0.7323033831	hawaiian
0.7322457563	northside
0.7321831356	sullivan
0.7321479129	birmingham
0.7321470702	thursday
0.7320647839	hinesville
0.7319990216	sam
0.7319868547	billings
0.7319719649	monday
0.7319469952	lion's
0.7318608855	magnitsky
0.7318098120	putin
0.7318025765	mcconnell
0.7317459905	irish
0.7316556297	museum
0.7316240480	abbey
0.7315632471	august
0.7315436378	simmons
0.7315422813	halifax
0.7315292272	clemson
0.7315045280	jimmy
0.7314483651	williamson
0.7314070640	dickens
0.7313132495	israel
0.7313089679	hernando
0.7312884414	martha's
0.7312696590	asian
0.7312194992	omaha
0.7311247680	cuban
0.7311197001	rancho
0.7310657488	atlantic
0.7310570439	delaware
0.7310499155	asia
0.7310469048	csam
0.7310305911	eden
0.7310288635	sheldon
0.7310270723	milwaukee
0.7310262543	isaac
0.7310123804	cove
0.7310123804	vikings
0.7310056652	sumter
0.7310033216	klan
0.7309523605	doha
0.7309040566	spanish
0.7308821359	seaman
0.7308558694	mccaul
0.7307917583	roanoke
0.7307649663	kevin
0.7307633924	marquette
0.7307543432	assad
0.7307235310	paris
0.7307208875	friday
0.7307006885	delta
0.7306844065	guantanamo
0.7306772841	yosemite
0.7306669372	bayou
0.7306556853	berg
0.7306415336	martin
0.7305994353	aumf
0.7305419557	boston
0.7305247693	mac
0.7305226789	toyota
0.7304633918	bbc
0.7304096976	cater
0.7303650166	polytechnic
0.7303172790	ymca
0.7303120948	ncaa
0.7303084146	uae
0.7302945959	kitsap
0.7302846447	manchester
0.7302707540	nashville
0.7302665132	bernie
0.7302215772	europe
0.7301627081	belle
0.7301627081	brittney
0.7300621437	jews
0.7300561027	mikulski
0.7300365501	wednesday
0.7300064273	alvin
0.7300005146	saint
0.7299209460	democrat
0.7298825917	swiss
0.7298394308	turkiye
0.7298383217	leo
0.7298146445	allegheny
0.7297158175	nfip
0.7297057597	brandeis
0.7297052267	avon
0.7297016680	johnson
0.7296958784	paul's
0.7296924187	trump
0.7296861909	chevron
0.7296840284	meeks
0.7296802146	tech's
0.7296797135	phd
0.7296675445	ventura
0.7296675445	edison
0.7296262147	catholics
0.7296042023	japanese
0.7296017408	clarke
0.7295487444	kabul
0.7295296203	pitt
0.7295113116	dutchess
0.7294750528	mccormick
0.7294713233	benedict
0.7294394366	tucson
0.7294268305	harley
0.7294053501	amherst
0.7293473504	minneapolis
0.7293367278	filipino
0.7293222978	tulane
0.7292645163	stanislaus
0.7292508271	armenian
0.7292032471	indianapolis
0.7292023373	woodrow
0.7292002625	rogers
0.7291674370	saturday
0.7291326330	admiral
0.7290934157	khan
0.7290821172	providence
0.7290626243	armenia
0.7290532588	seneca
0.7290502990	sheikh
0.7290501949	hancock
0.7290276518	guzman
0.7289870556	tribes
0.7289626926	tuesday
0.7288874983	baylor
0.7288819695	gingrich
0.7288819695	sinai
0.7288761391	philadelphia
0.7288655404	o'neill
0.7288601271	hampton
0.7287934789	walt
0.7287934789	pompeo
0.7287906672	mia
0.7287618595	cbc
0.7287354604	ford
0.7287297050	sanders
0.7287059680	denali
0.7287057939	cbo's
0.7286979146	reed
0.7286475489	fallon
0.7286291606	blair
0.7285690515	russell
0.7284826064	soviet
0.7284814959	feinstein's
0.7284814959	aviv
0.7284196954	monmouth
0.7283991704	omega
0.7283739408	arlington
0.7283590342	bethune
0.7283215712	sb
0.7282875977	yemeni
0.7282399519	disney
0.7282185123	crapo
0.7282093871	gao
